value
0.0243904
0.021648896
0.019613952
0.019354112
0.018645504
0.017321472
0.018443008
0.021268224
0.02520448
0.02764288
0.02778112
0.028416
0.03052544
0.0288384
0.0277248
0.02589184
0.025545472
0.027584
0.03335936
0.03713024
0.03707648
0.03502592
0.03375872
0.03101184
